City,Price range per sqft,Avg price per sqft,Price rise
Rishikesh,"650 - 24,000 / sqft","19,919.75 / sqft",10.3%
Burdwan,"1,042 - 3,846 / sqft","2,925.74 / sqft",18.6%
Udham Singh Nagar,"2,222 - 3,265 / sqft","2,814.52 / sqft",5%
Shahjahanpur,-,-,-
Muzaffarnagar,-,-,-
Hisar,"2,278 - 51,220 / sqft","32,508.67 / sqft",-
Sirsa,-,-,-
Chikkamagaluru,"1,667 / sqft","1,666.67 / sqft",-
Udupi,"2,311 / sqft","2,311.25 / sqft",-
Fatehabad,-,-,-
Sangli,"2,000 - 5,628 / sqft","5,236.1 / sqft",26.8%
Raigarh,"4,425 / sqft","4,424.78 / sqft",104.5%
Parbhani,"1,478 / sqft","1,478.26 / sqft",-
Osmanabad,"2,941 / sqft","2,941.18 / sqft",-
Nandurbar,-,-,-
Nanded,"2,300 / sqft","2,300 / sqft",-
Kurnool,"1,846 - 5,200 / sqft","4,792.19 / sqft",-21.2%
Nellore,"2,456 - 4,599 / sqft","4,354.22 / sqft",10%
Nizamabad,"3,500 / sqft","3,500 / sqft",-
Rajahmundry,"1,959 - 5,806 / sqft","4,502.37 / sqft",-
Bhagalpur,"4,223 / sqft","4,223 / sqft",-
Raipur,"699 - 61,894 / sqft","35,668.52 / sqft",92%
Gandhinagar,"1,250 - 10,302 / sqft","8,81.71 / sqft",-15.3%
Jamnagar,"2,250 - 5,906 / sqft","3,321.58 / sqft",-8.4%
Porbandar,"1,882 - 2,000 / sqft","1,941.18 / sqft",-
Rajkot,"1,366 - 12,037 / sqft","9,775.03 / sqft",-42.8%
Kurukshetra,-,-,-
Panchkula,"1,403 - 12,190 / sqft","5,908.01 / sqft",-5.4%
Dharamsala,-,-,-
Manali,-,-,5.2%
Jammu,"9,032 / sqft","9,32.26 / sqft",-
Srinagar,"1,200 / sqft","1,200 / sqft",-
Bokaro,"1,000 - 4,182 / sqft","3,931.04 / sqft",-
Dhanbad,"1,542 - 5,000 / sqft","3,602.63 / sqft",-5.4%
Bellary,-,-,-
Bidar,-,-,-
Dharwad,-,-,-
