News,Date,market_compound,sentiment_encoded,Open,High,Low,Close,Adj Close,Volume
Search group’s researchers find security flaws in anti-tracking tool in Safari browser,2020-01-25,0.34,1,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,75.24724578857422,161940000
Search group’s researchers find security flaws in anti-tracking tool in Safari browser,2020-01-26,0.34,1,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,75.24724578857422,161940000
"ByteDance to music, US drone turbulence, new Samsung, Apple phones",2020-01-27,0.0,0,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,75.24724578857422,161940000
Tuesday’s results to show growth in services and wearables offsetting lower iPhone sales,2020-01-28,0.1027,1,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,77.37591552734375,162234000
Apple reports one of the biggest quarterly profits for any company,2020-01-29,0.4404,1,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,78.99562072753906,216229200
Apple reports one of the biggest quarterly profits for any company,2020-01-30,0.4404,1,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,78.88113403320312,126743200
Apple reports one of the biggest quarterly profits for any company,2020-01-31,0.4404,1,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,75.38365173339844,199588400
Cutting the price of flagship handset unexpectedly boosted growth in holiday quarter,2020-02-01,0.7717,1,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,75.17660522460938,173788400
Cutting the price of flagship handset unexpectedly boosted growth in holiday quarter,2020-02-02,0.7717,1,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,75.17660522460938,173788400
"Coronavirus tech concerns, EU decides Huawei plan, Off-Facebook Activity tool",2020-02-03,0.0,0,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,75.17660522460938,173788400
"Tech giant closes all mainland corporate offices, stores and contact centres for at least 8 days",2020-02-04,0.0,0,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,77.6584701538086,136616400
The worry for Silicon Valley is that the impulse for creative destruction is now fading,2020-02-05,-0.5719,-1,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,78.29171752929688,118826800
The worry for Silicon Valley is that the impulse for creative destruction is now fading,2020-02-06,-0.5719,-1,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,79.20751190185547,105425600
Start-up claims it is one of ‘thousands’ of developers to see ideas reappear in tech giant’s products,2020-02-07,0.0,0,80.59249877929688,80.8499984741211,79.5,80.00749969482422,78.13086700439453,117684000
Start-up claims it is one of ‘thousands’ of developers to see ideas reappear in tech giant’s products,2020-02-08,0.0,0,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,78.5019302368164,109348800
Start-up claims it is one of ‘thousands’ of developers to see ideas reappear in tech giant’s products,2020-02-09,0.0,0,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,78.5019302368164,109348800
Start-up claims it is one of ‘thousands’ of developers to see ideas reappear in tech giant’s products,2020-02-10,0.0,0,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,78.5019302368164,109348800
"Epidemic leaves Chinese factories closed and workers stranded, posing challenge for likes of Apple",2020-02-11,0.4767,1,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,78.02833557128906,94323200
"Nearly every issue flagged as a potential problem for Apple, Amazon and their like seems to be passing by in a haze",2020-02-12,0.128,1,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,79.88130187988281,113730400
Return to full production at iPhone maker ‘will take weeks’ as infection rate rises,2020-02-13,0.0,0,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,79.31249237060547,94747600
Return to full production at iPhone maker ‘will take weeks’ as infection rate rises,2020-02-14,0.0,0,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,79.33201599121094,80113600
Return to full production at iPhone maker ‘will take weeks’ as infection rate rises,2020-02-15,0.0,0,78.83999633789062,79.9375,78.65249633789062,79.75,77.87939453125,152531200
Return to full production at iPhone maker ‘will take weeks’ as infection rate rises,2020-02-16,0.0,0,78.83999633789062,79.9375,78.65249633789062,79.75,77.87939453125,152531200
Exclusive: Richard Plepler recruits NY literary agent Heather Karpas to production venture,2020-02-17,0.128,1,78.83999633789062,79.9375,78.65249633789062,79.75,77.87939453125,152531200
Apple warns on iPhone sales as coronavirus disrupts supply chain,2020-02-18,-0.1027,-1,78.83999633789062,79.9375,78.65249633789062,79.75,77.87939453125,152531200
Apple warns on iPhone sales as coronavirus disrupts supply chain,2020-02-19,-0.1027,-1,80.0,81.14250183105469,80.0,80.90499877929688,79.00729370117188,93984000
Huge factory complex struggles to move to full production after extended holiday for lunar year,2020-02-20,0.3612,1,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,78.19677734375,100566000
"If leaders are serious about their state-like powers, they must treat customers as citizens",2020-02-21,0.34,1,79.65499877929688,80.11250305175781,77.625,78.26249694824219,76.42680358886719,129554000
"If leaders are serious about their state-like powers, they must treat customers as citizens",2020-02-22,0.34,1,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,72.7964859008789,222195200
"If leaders are serious about their state-like powers, they must treat customers as citizens",2020-02-23,0.34,1,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,72.7964859008789,222195200
"If leaders are serious about their state-like powers, they must treat customers as citizens",2020-02-24,0.34,1,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,72.7964859008789,222195200
